codigo,nome,data,quantidade
GB1001,Gabinete Pichau HX300,2026-01-06,6
GB1001,Gabinete Pichau HX300,2026-01-17,5
GB1001,Gabinete Pichau HX300,2026-02-04,7
GB1001,Gabinete Pichau HX300,2026-02-21,4
GB1001,Gabinete Pichau HX300,2026-03-03,6
GB1001,Gabinete Pichau HX300,2026-03-12,5
GB1002,Gabinete Pichau Lunar Glass,2026-01-08,4
GB1002,Gabinete Pichau Lunar Glass,2026-01-26,3
GB1002,Gabinete Pichau Lunar Glass,2026-02-10,5
GB1002,Gabinete Pichau Lunar Glass,2026-02-24,4
GB1002,Gabinete Pichau Lunar Glass,2026-03-05,5
GB1002,Gabinete Pichau Lunar Glass,2026-03-18,4
GB1003,Gabinete Pichau Nova Mesh,2026-01-12,3
GB1003,Gabinete Pichau Nova Mesh,2026-02-07,4
GB1003,Gabinete Pichau Nova Mesh,2026-02-27,3
GB1003,Gabinete Pichau Nova Mesh,2026-03-04,4
GB1003,Gabinete Pichau Nova Mesh,2026-03-19,3
GB1004,Gabinete Pichau Apex RGB,2026-01-09,5
GB1004,Gabinete Pichau Apex RGB,2026-01-23,4
GB1004,Gabinete Pichau Apex RGB,2026-02-05,5
GB1004,Gabinete Pichau Apex RGB,2026-02-20,5
GB1004,Gabinete Pichau Apex RGB,2026-03-06,6
GB1004,Gabinete Pichau Apex RGB,2026-03-17,5
GB1005,Gabinete Pichau Forge Mini,2026-01-14,2
GB1005,Gabinete Pichau Forge Mini,2026-02-11,3
GB1005,Gabinete Pichau Forge Mini,2026-03-07,4
GB1005,Gabinete Pichau Forge Mini,2026-03-20,3
GB1006,Gabinete Pichau Orion Full Tower,2026-01-10,2
GB1006,Gabinete Pichau Orion Full Tower,2026-02-14,3
GB1006,Gabinete Pichau Orion Full Tower,2026-03-10,4
GB1007,Gabinete Pichau Pulse Air,2026-01-11,6
GB1007,Gabinete Pichau Pulse Air,2026-01-29,5
GB1007,Gabinete Pichau Pulse Air,2026-02-13,7
GB1007,Gabinete Pichau Pulse Air,2026-02-26,5
GB1007,Gabinete Pichau Pulse Air,2026-03-08,7
GB1007,Gabinete Pichau Pulse Air,2026-03-18,6
GB1008,Gabinete Pichau Edge White,2026-01-15,3
GB1008,Gabinete Pichau Edge White,2026-02-06,4
GB1008,Gabinete Pichau Edge White,2026-02-25,3
GB1008,Gabinete Pichau Edge White,2026-03-11,4
